"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
0.205344,0.046685,0.03412,0.023035,0.016035,0.013733,0.011861,0.010162,0.008636,0.007344,0.006147,0.005289,0.004776,0.004638,0.004877,0.005366,0.005962,0.00667,0.007456,0.008322,0.008908,0.009403,0.01004,0.010408,0.010468,0.010251,0.009835,0.009504,0.009257,0.009068,0.00929,0.009537,0.00969,0.009875,0.010087,0.010271,0.010564,0.010867,0.011229,0.011665,0.011893,0.012171,0.012725,0.013266,0.013828,0.014523,0.015134,0.015619,0.016219,0.016916,0.017967,0.0191,0.019953,0.020743,0.021497,0.022218,0.023574,0.025193,0.027496,0.030686,0.034027,0.037746,0.040787,0.043364,0.04533,0.046124,0.048253,0.051621,0.056418,0.062912,0.070448,0.078909,0.087036,0.095227,0.102034,0.107565,0.113811,0.122377,0.133566,0.135541,0.163132,0.180934,0.198604,0.214762,0.22617,0.228253,0.225668,0.221422,0.217001,0.21723,0.229588,0.24538,0.262353,0.281928,0.305052,0.333759,0.365147,0.393804,0.422934,0.45737
0.200266,0.054073,0.03875,0.02707,0.018878,0.015315,0.012871,0.010716,0.008912,0.007468,0.006421,0.005722,0.005295,0.005198,0.005455,0.006005,0.006514,0.00701,0.007644,0.008363,0.009128,0.009458,0.009646,0.009956,0.009934,0.00964,0.009304,0.009036,0.008912,0.008966,0.009118,0.009408,0.009781,0.009982,0.010168,0.010375,0.010646,0.010936,0.011304,0.011778,0.012361,0.012766,0.013194,0.013851,0.014379,0.014815,0.015483,0.016227,0.016941,0.01793,0.019119,0.020456,0.021666,0.022388,0.022811,0.023117,0.024232,0.025982,0.028247,0.031469,0.035534,0.039665,0.043024,0.045474,0.047191,0.048331,0.050041,0.05276,0.056924,0.062794,0.070362,0.078172,0.085654,0.092432,0.098744,0.104997,0.111612,0.118943,0.128458,0.140795,0.15954,0.176915,0.193956,0.208819,0.218055,0.218061,0.213884,0.208746,0.205719,0.210281,0.228592,0.251029,0.274249,0.299137,0.327,0.359308,0.398897,0.448915,0.505775,0.592998
0.201523,0.061151,0.041538,0.028399,0.020209,0.016389,0.013818,0.011505,0.009524,0.007933,0.006739,0.005936,0.005497,0.00537,0.00563,0.006223,0.006865,0.007379,0.007892,0.008576,0.009315,0.009932,0.01002,0.00994,0.009949,0.009659,0.009421,0.009278,0.009235,0.009344,0.009602,0.009768,0.010051,0.010423,0.010577,0.010718,0.010926,0.011193,0.011488,0.011897,0.012411,0.012984,0.013324,0.013637,0.014133,0.014496,0.014948,0.01572,0.016595,0.017459,0.018555,0.01956,0.020675,0.021705,0.022286,0.02274,0.023639,0.025405,0.02772,0.030506,0.033974,0.037382,0.040633,0.043162,0.045028,0.046548,0.048666,0.051583,0.055497,0.060952,0.067892,0.075224,0.082369,0.089227,0.095228,0.100954,0.10829,0.116613,0.125264,0.13566,0.150392,0.165203,0.180179,0.193982,0.203767,0.20677,0.20683,0.205932,0.205652,0.210189,0.223632,0.238663,0.252943,0.267335,0.285115,0.312104,0.347771,0.398055,0.471969,0.578319
0.216021,0.066602,0.045892,0.030056,0.021434,0.018141,0.015817,0.013599,0.011497,0.009535,0.007794,0.006465,0.005651,0.005319,0.005427,0.00599,0.006667,0.00735,0.007921,0.008542,0.009354,0.010046,0.010523,0.010391,0.010035,0.009787,0.009546,0.009454,0.009486,0.009616,0.009826,0.00999,0.010005,0.01018,0.01047,0.010546,0.010711,0.011004,0.011378,0.011832,0.01245,0.01307,0.013669,0.013935,0.014064,0.014343,0.01471,0.015314,0.016357,0.017595,0.018791,0.019863,0.020677,0.02152,0.022181,0.022426,0.023091,0.024455,0.026794,0.029805,0.033247,0.036562,0.039609,0.042343,0.044187,0.045624,0.047653,0.050606,0.054418,0.059385,0.065969,0.073148,0.080211,0.086824,0.093012,0.098239,0.104517,0.113462,0.124341,0.135851,0.149096,0.164791,0.180931,0.196054,0.207325,0.211503,0.212033,0.211534,0.211273,0.214506,0.226175,0.240953,0.255544,0.270688,0.290387,0.322784,0.367053,0.425768,0.508733,0.628632
0.19734,0.057174,0.040039,0.02677,0.018643,0.016032,0.014271,0.012483,0.010706,0.008945,0.007248,0.005904,0.005026,0.004674,0.004811,0.005312,0.00596,0.006658,0.007373,0.007985,0.008627,0.009272,0.009718,0.009904,0.00946,0.008841,0.008621,0.008521,0.008598,0.008844,0.009168,0.009386,0.009519,0.00951,0.009695,0.010034,0.010227,0.01053,0.01096,0.011443,0.011968,0.01253,0.01303,0.01348,0.013555,0.013519,0.013945,0.014611,0.015616,0.017181,0.018905,0.020116,0.021052,0.021661,0.022243,0.022744,0.02346,0.024851,0.027094,0.030453,0.034377,0.037921,0.041127,0.044127,0.046691,0.048422,0.050764,0.053989,0.05821,0.06325,0.069309,0.076404,0.084006,0.091365,0.098204,0.105121,0.112418,0.121694,0.135086,0.152114,0.166256,0.18444,0.203416,0.221298,0.234394,0.238715,0.237682,0.234221,0.23105,0.232008,0.242149,0.257134,0.274449,0.292094,0.312578,0.342854,0.38211,0.43664,0.514434,0.641496
0.198236,0.056529,0.041545,0.0281,0.019552,0.016227,0.014022,0.011978,0.010044,0.008281,0.006685,0.005482,0.004696,0.004383,0.004605,0.005184,0.005898,0.006636,0.007409,0.008175,0.008805,0.009275,0.009642,0.009814,0.009748,0.009161,0.008707,0.008663,0.008677,0.008766,0.008927,0.008946,0.008991,0.009051,0.009088,0.00947,0.009871,0.010209,0.010611,0.011082,0.011532,0.012015,0.012381,0.012687,0.012946,0.012877,0.013019,0.013667,0.014522,0.015644,0.017098,0.018266,0.019023,0.019632,0.020075,0.02076,0.021886,0.02315,0.024892,0.027248,0.030188,0.033323,0.035887,0.038353,0.040933,0.043056,0.045834,0.048887,0.052645,0.057282,0.062487,0.068518,0.074784,0.081332,0.087031,0.093272,0.099158,0.106011,0.114941,0.128526,0.143868,0.159159,0.175551,0.191771,0.204711,0.210726,0.212045,0.209963,0.206284,0.20498,0.209738,0.217247,0.22834,0.243871,0.265031,0.298508,0.339794,0.391876,0.463802,0.561299
0.224582,0.06007,0.042292,0.029387,0.020453,0.016653,0.014071,0.011812,0.009835,0.008171,0.006829,0.005861,0.00525,0.005007,0.005167,0.005698,0.006378,0.007091,0.007871,0.008722,0.009588,0.010062,0.010221,0.010279,0.010128,0.009789,0.009223,0.008872,0.008963,0.009117,0.00935,0.009523,0.00961,0.009684,0.009774,0.009839,0.010071,0.010451,0.010734,0.011075,0.011492,0.011911,0.012212,0.012458,0.012675,0.012903,0.013086,0.013527,0.014459,0.015523,0.016662,0.017816,0.018703,0.019179,0.019574,0.019974,0.021059,0.022731,0.024646,0.027115,0.030092,0.033497,0.03659,0.039019,0.041246,0.043343,0.046039,0.048953,0.052592,0.057286,0.063221,0.069602,0.076258,0.082899,0.089414,0.095846,0.102512,0.109265,0.117298,0.127839,0.14741,0.162825,0.179677,0.197287,0.213268,0.224139,0.23117,0.234846,0.235338,0.23586,0.241309,0.248698,0.258355,0.273838,0.297486,0.330752,0.368453,0.411692,0.469533,0.565208
0.207302,0.056814,0.038312,0.025837,0.018601,0.015559,0.013566,0.011675,0.009927,0.008249,0.006741,0.005564,0.004801,0.004449,0.004524,0.004985,0.005604,0.006313,0.007057,0.007895,0.008763,0.009405,0.009591,0.00949,0.009294,0.00894,0.008664,0.008259,0.008054,0.008266,0.00854,0.008836,0.009076,0.009222,0.009328,0.009433,0.00949,0.009725,0.01011,0.010376,0.010687,0.011042,0.011409,0.01173,0.012101,0.012538,0.013115,0.013589,0.014199,0.015185,0.016149,0.017045,0.018046,0.018903,0.019468,0.020141,0.021107,0.022776,0.024975,0.027318,0.030011,0.0327,0.03568,0.038303,0.040342,0.042344,0.044916,0.048237,0.052063,0.057445,0.064257,0.071489,0.078568,0.085468,0.091415,0.096501,0.10258,0.10927,0.11655,0.126246,0.14692,0.162534,0.178986,0.195628,0.210211,0.21946,0.225335,0.228527,0.229554,0.231329,0.239297,0.250193,0.263202,0.280361,0.307299,0.347596,0.391546,0.436867,0.483714,0.541186
0.216912,0.062033,0.043636,0.028389,0.019711,0.016169,0.013652,0.011394,0.009475,0.007881,0.006534,0.005526,0.004864,0.004582,0.004682,0.005119,0.005665,0.006299,0.006993,0.007685,0.008427,0.009042,0.009454,0.009496,0.009376,0.009305,0.009255,0.009215,0.008873,0.008576,0.008568,0.00859,0.008722,0.008928,0.009161,0.009432,0.009685,0.009839,0.010165,0.010629,0.010909,0.0112,0.011534,0.011849,0.012117,0.012486,0.01298,0.013632,0.014162,0.014803,0.015799,0.016727,0.017616,0.018679,0.019628,0.020334,0.021321,0.022609,0.024599,0.027125,0.029657,0.032127,0.034576,0.037325,0.039696,0.041735,0.044355,0.047787,0.051745,0.056238,0.062634,0.069412,0.076045,0.082154,0.087699,0.091999,0.097459,0.105021,0.113767,0.124319,0.146936,0.164515,0.181642,0.196782,0.206568,0.206977,0.202962,0.197258,0.192366,0.19467,0.211044,0.231881,0.254674,0.278707,0.302967,0.330133,0.361552,0.390109,0.415425,0.450815
0.20946,0.064289,0.045485,0.030648,0.020817,0.017011,0.014456,0.01213,0.010057,0.00834,0.006926,0.005812,0.005148,0.004947,0.005239,0.005931,0.006641,0.007272,0.007878,0.008385,0.00872,0.009035,0.009286,0.009422,0.00929,0.009137,0.009164,0.009227,0.009281,0.00901,0.008788,0.008946,0.009141,0.009433,0.009787,0.010099,0.010314,0.010489,0.010557,0.010855,0.011334,0.011621,0.01197,0.012414,0.012852,0.013283,0.013884,0.014581,0.015397,0.015997,0.016631,0.017609,0.018495,0.019366,0.020477,0.021517,0.022477,0.023855,0.025625,0.028258,0.031468,0.0342,0.036653,0.039025,0.041517,0.043519,0.045863,0.049143,0.053534,0.058322,0.06351,0.070154,0.07687,0.083109,0.088374,0.093176,0.098549,0.106024,0.116024,0.127122,0.147858,0.165187,0.182483,0.198368,0.210088,0.214641,0.215999,0.21658,0.217758,0.22361,0.239679,0.25812,0.276808,0.297622,0.320483,0.347407,0.385161,0.436483,0.487973,0.542832
