Dates,Hour,DK_1_price_day_ahead,IT_NORD_price_day_ahead,SE_1_price_day_ahead
2015-01-01,0,,,
2015-01-01,1,16.04,,19.33
2015-01-01,2,14.6,,17.66
2015-01-01,3,14.95,,17.53
2015-01-01,4,14.5,,18.07
2015-01-01,5,10.76,,25.23
2015-01-01,6,12.01,,26.8
2015-01-01,7,12.39,,26.97
2015-01-01,8,14.04,,26.29
2015-01-01,9,14.68,,26.06
2015-01-01,10,16.08,,25.56
2015-01-01,11,16.08,,25.91
2015-01-01,12,16.05,,25.42
2015-01-01,13,16.04,,26.78
2015-01-01,14,16.1,,27.51
2015-01-01,15,23.93,,28.32
2015-01-01,16,26.9,,28.36
2015-01-01,17,26.36,,28.18
2015-01-01,18,23.98,,27.81
2015-01-01,19,16.09,,27.46
2015-01-01,20,14.08,,27.06
2015-01-01,21,12.44,,26.4
2015-01-01,22,0.04,,18.36
2015-01-01,23,-12.11,,17.78
2015-01-02,0,-19.63,,9.62
2015-01-02,1,-19.37,,7.67
2015-01-02,2,-31.41,,10.83
2015-01-02,3,-31.41,,23.14
2015-01-02,4,-13.48,,26.1
2015-01-02,5,0.08,,27.25
2015-01-02,6,10.06,,28.37
2015-01-02,7,14.25,,28.37
2015-01-02,8,14.56,,28.32
2015-01-02,9,14.64,,28.3
2015-01-02,10,15.08,,28.39
2015-01-02,11,15.41,,28.3
2015-01-02,12,14.52,,28.24
2015-01-02,13,14.7,,28.12
2015-01-02,14,14.66,,28.23
2015-01-02,15,16.09,,28.59
2015-01-02,16,25.1,,28.73
2015-01-02,17,25.06,,28.48
2015-01-02,18,18.34,,28.38
2015-01-02,19,14.26,,27.85
2015-01-02,20,12.22,,27.45
2015-01-02,21,8.0,,27.2
2015-01-02,22,-0.33,,25.94
2015-01-02,23,-0.08,,17.57
2015-01-03,0,-0.07,,16.87
2015-01-03,1,-5.03,,5.75
2015-01-03,2,0.01,,5.09
2015-01-03,3,-0.04,,7.64
2015-01-03,4,0.03,,23.85
2015-01-03,5,-8.67,,22.92
2015-01-03,6,4.46,,26.75
2015-01-03,7,9.9,,26.98
2015-01-03,8,14.29,,27.52
2015-01-03,9,16.73,,27.72
2015-01-03,10,22.31,,27.73
2015-01-03,11,23.03,,27.66
2015-01-03,12,22.4,,27.65
2015-01-03,13,27.07,,27.81
2015-01-03,14,28.29,,28.37
2015-01-03,15,28.6,,29.23
2015-01-03,16,28.88,,29.53
2015-01-03,17,28.78,,29.75
2015-01-03,18,28.54,,29.46
2015-01-03,19,28.34,,28.69
2015-01-03,20,27.26,,27.93
2015-01-03,21,27.7,,27.7
2015-01-03,22,14.27,,27.25
2015-01-03,23,9.32,,27.55
2015-01-04,0,0.1,,27.38
2015-01-04,1,0.1,,27.17
2015-01-04,2,0.1,,27.03
2015-01-04,3,0.11,,27.04
2015-01-04,4,6.8,,27.19
2015-01-04,5,14.95,,27.13
2015-01-04,6,25.49,,27.06
2015-01-04,7,26.28,,27.63
2015-01-04,8,27.32,,28.03
2015-01-04,9,27.56,,28.24
2015-01-04,10,27.32,,28.32
2015-01-04,11,27.08,,28.24
2015-01-04,12,26.33,,28.27
2015-01-04,13,27.42,,28.32
2015-01-04,14,28.37,,28.7
2015-01-04,15,28.65,,29.58
2015-01-04,16,28.94,,29.92
2015-01-04,17,29.59,,29.91
2015-01-04,18,29.42,,29.77
2015-01-04,19,28.92,,29.45
2015-01-04,20,28.66,,29.06
2015-01-04,21,29.03,,29.03
2015-01-04,22,27.68,,28.02
2015-01-04,23,28.19,,29.06
2015-01-05,0,28.15,39.1,28.88
2015-01-05,1,28.13,35.21,28.87
2015-01-05,2,28.05,32.43,28.97
2015-01-05,3,28.04,33.15,29.34
2015-01-05,4,27.01,38.85,30.33
2015-01-05,5,27.6,48.89,31.39
2015-01-05,6,33.62,60.03,32.84
2015-01-05,7,38.15,63.98,35.77
2015-01-05,8,41.51,64.5,35.87
2015-01-05,9,40.46,55.49,35.56
2015-01-05,10,40.97,53.5,35.0
2015-01-05,11,40.72,51.0,34.64
2015-01-05,12,41.92,50.39,34.76
2015-01-05,13,42.0,54.45,35.1
2015-01-05,14,43.1,64.0,35.83
2015-01-05,15,46.7,64.25,35.94
2015-01-05,16,56.78,68.64,35.37
2015-01-05,17,58.84,67.0,34.78
2015-01-05,18,49.23,61.5,34.2
2015-01-05,19,44.32,55.95,34.0
2015-01-05,20,35.86,50.26,34.12
2015-01-05,21,32.56,50.53,32.56
2015-01-05,22,30.03,51.0,30.03
2015-01-05,23,30.02,49.78,30.02
2015-01-06,0,29.81,45.21,29.81
2015-01-06,1,29.41,38.8,29.41
2015-01-06,2,27.89,35.0,29.11
2015-01-06,3,27.89,33.43,29.5
2015-01-06,4,28.01,37.58,29.64
2015-01-06,5,29.67,43.5,29.67
2015-01-06,6,30.03,52.0,30.03
2015-01-06,7,30.5,52.0,30.5
2015-01-06,8,30.35,51.04,30.35
2015-01-06,9,30.53,50.28,30.53
2015-01-06,10,29.91,49.1,30.47
2015-01-06,11,29.62,47.97,30.06
2015-01-06,12,29.58,45.11,29.98
2015-01-06,13,29.57,45.44,29.99
2015-01-06,14,29.62,52.49,30.48
2015-01-06,15,29.99,57.89,30.83
2015-01-06,16,29.65,63.98,31.04
2015-01-06,17,29.58,61.1,30.52
2015-01-06,18,29.0,59.17,29.99
2015-01-06,19,28.45,55.0,29.61
2015-01-06,20,28.15,50.0,29.15
2015-01-06,21,28.08,50.27,28.11
2015-01-06,22,26.97,49.1,27.32
2015-01-06,23,26.35,49.92,26.35
2015-01-07,0,26.08,45.5,26.08
2015-01-07,1,26.03,45.0,26.03
2015-01-07,2,26.17,41.85,26.17
2015-01-07,3,26.1,41.85,26.74
2015-01-07,4,26.84,44.32,28.11
2015-01-07,5,30.07,51.96,30.27
2015-01-07,6,33.17,57.33,33.17
2015-01-07,7,34.1,69.69,33.59
2015-01-07,8,33.28,70.95,33.28
2015-01-07,9,34.08,66.4,33.86
2015-01-07,10,33.63,63.98,33.63
2015-01-07,11,32.76,54.99,33.11
2015-01-07,12,30.65,52.62,33.2
2015-01-07,13,30.31,64.34,33.61
2015-01-07,14,29.79,65.0,35.96
2015-01-07,15,30.72,65.02,35.99
2015-01-07,16,29.56,65.21,35.56
2015-01-07,17,28.84,63.0,35.48
2015-01-07,18,28.2,58.23,33.19
2015-01-07,19,27.75,52.1,31.12
2015-01-07,20,27.42,50.55,29.84
2015-01-07,21,26.7,49.78,28.72
2015-01-07,22,22.11,49.78,27.47
2015-01-07,23,21.92,46.48,26.51
2015-01-08,0,19.35,40.85,25.07
2015-01-08,1,16.11,40.03,24.57
2015-01-08,2,14.93,38.85,24.44
2015-01-08,3,15.0,39.1,24.54
2015-01-08,4,19.04,44.41,26.04
2015-01-08,5,26.17,60.0,28.19
2015-01-08,6,29.41,65.66,29.41
2015-01-08,7,28.1,78.24,29.66
2015-01-08,8,28.23,76.0,29.52
2015-01-08,9,28.35,71.35,29.57
2015-01-08,10,28.46,66.95,29.72
2015-01-08,11,28.46,57.75,29.72
2015-01-08,12,28.6,57.89,29.85
2015-01-08,13,28.45,65.15,30.22
2015-01-08,14,28.24,65.0,30.83
2015-01-08,15,28.43,65.99,31.69
2015-01-08,16,28.4,67.08,32.03
2015-01-08,17,27.98,64.0,31.05
2015-01-08,18,27.69,62.0,30.37
2015-01-08,19,27.46,57.2,29.44
2015-01-08,20,27.31,51.01,28.62
2015-01-08,21,26.71,50.26,27.4
2015-01-08,22,15.93,48.9,25.91
2015-01-08,23,11.55,44.89,25.89
2015-01-09,0,13.47,41.1,25.37
2015-01-09,1,11.23,40.8,25.17
2015-01-09,2,16.0,40.03,25.12
2015-01-09,3,16.26,40.8,25.46
2015-01-09,4,19.94,46.21,26.88
2015-01-09,5,24.36,52.04,28.17
2015-01-09,6,29.24,60.03,29.24
2015-01-09,7,27.45,69.65,29.71
2015-01-09,8,27.38,71.94,29.11
2015-01-09,9,27.33,65.39,29.74
2015-01-09,10,27.23,63.98,30.46
2015-01-09,11,27.15,52.44,30.51
2015-01-09,12,27.08,51.05,29.95
2015-01-09,13,27.03,54.45,29.17
2015-01-09,14,27.02,58.0,29.47
2015-01-09,15,27.12,61.0,30.09
2015-01-09,16,27.15,65.04,30.99
2015-01-09,17,27.1,63.98,30.63
2015-01-09,18,27.02,58.43,29.91
2015-01-09,19,26.96,51.8,28.85
2015-01-09,20,26.69,50.4,28.32
2015-01-09,21,21.64,48.8,27.89
2015-01-09,22,14.72,44.96,26.74
2015-01-09,23,21.94,42.49,27.84
2015-01-10,0,25.08,38.8,27.21
2015-01-10,1,20.91,34.51,27.04
2015-01-10,2,20.68,33.35,27.47
2015-01-10,3,21.91,32.68,27.71
2015-01-10,4,12.28,34.51,27.91
2015-01-10,5,7.19,42.99,27.97
2015-01-10,6,9.31,49.11,28.43
2015-01-10,7,11.35,50.16,28.55
2015-01-10,8,15.87,49.28,28.56
2015-01-10,9,15.84,47.01,28.58
2015-01-10,10,14.83,44.49,28.42
2015-01-10,11,15.83,40.78,28.24
2015-01-10,12,14.85,38.0,27.96
2015-01-10,13,11.42,39.46,27.84
2015-01-10,14,11.34,45.0,27.86
2015-01-10,15,14.15,47.72,28.13
2015-01-10,16,17.09,53.1,28.36
2015-01-10,17,18.87,52.84,28.1
2015-01-10,18,13.44,51.95,27.71
2015-01-10,19,15.82,49.0,27.86
2015-01-10,20,11.51,46.44,27.64
2015-01-10,21,11.81,44.49,26.46
2015-01-10,22,5.08,40.83,25.54
2015-01-10,23,0.05,39.24,24.97
2015-01-11,0,-2.06,34.45,24.22
2015-01-11,1,-4.11,27.74,24.03
2015-01-11,2,-5.06,20.0,23.44
2015-01-11,3,-4.12,20.0,23.56
2015-01-11,4,-0.74,25.01,23.91
2015-01-11,5,-0.09,33.76,23.9
2015-01-11,6,0.05,37.27,24.71
2015-01-11,7,0.11,38.78,25.18
2015-01-11,8,4.05,40.01,25.95
2015-01-11,9,5.61,37.0,27.11
2015-01-11,10,9.91,34.51,27.84
2015-01-11,11,8.71,33.76,27.65
2015-01-11,12,0.11,28.0,27.68
2015-01-11,13,0.11,30.2,27.65
2015-01-11,14,0.15,35.51,27.8
2015-01-11,15,6.73,44.53,28.6
2015-01-11,16,13.72,53.48,28.97
2015-01-11,17,12.44,55.0,29.1
2015-01-11,18,14.88,58.71,28.9
2015-01-11,19,9.63,55.6,28.57
2015-01-11,20,9.29,49.21,28.16
2015-01-11,21,10.18,45.01,27.98
2015-01-11,22,0.12,38.96,27.64
2015-01-11,23,9.3,33.78,28.47
2015-01-12,0,2.87,28.3,28.1
2015-01-12,1,0.09,22.08,27.95
2015-01-12,2,0.1,19.8,28.07
2015-01-12,3,0.07,25.0,28.48
2015-01-12,4,0.11,33.62,27.83
2015-01-12,5,10.05,48.07,29.53
2015-01-12,6,17.03,55.23,34.59
2015-01-12,7,17.92,65.0,34.63
2015-01-12,8,17.66,61.28,34.03
2015-01-12,9,17.66,54.28,30.84
2015-01-12,10,17.41,53.36,30.07
2015-01-12,11,15.43,47.88,29.33
2015-01-12,12,14.59,48.36,29.39
2015-01-12,13,6.63,52.69,28.98
2015-01-12,14,0.15,57.35,29.49
2015-01-12,15,15.63,59.21,29.7
2015-01-12,16,18.34,61.82,30.25
2015-01-12,17,17.86,59.8,29.97
2015-01-12,18,16.78,55.5,28.93
2015-01-12,19,15.68,51.7,28.26
2015-01-12,20,13.91,51.52,27.8
2015-01-12,21,14.91,48.93,27.63
2015-01-12,22,9.1,45.74,26.4
2015-01-12,23,9.27,44.2,28.12
2015-01-13,0,10.42,41.53,27.91
2015-01-13,1,11.16,40.78,27.87
2015-01-13,2,15.9,40.29,28.02
2015-01-13,3,17.81,41.53,28.95
2015-01-13,4,19.92,46.59,29.88
2015-01-13,5,21.05,51.54,31.84
2015-01-13,6,32.37,57.03,35.04
2015-01-13,7,32.28,69.16,35.65
2015-01-13,8,28.47,64.97,34.95
2015-01-13,9,26.07,59.95,34.87
2015-01-13,10,25.22,55.39,34.5
2015-01-13,11,25.25,49.44,33.87
2015-01-13,12,24.91,49.04,33.82
2015-01-13,13,25.62,53.16,34.3
2015-01-13,14,28.91,57.81,34.76
2015-01-13,15,26.98,60.21,36.61
2015-01-13,16,27.12,64.49,42.16
2015-01-13,17,26.98,62.08,41.99
2015-01-13,18,26.87,57.3,37.75
2015-01-13,19,26.68,51.56,31.57
2015-01-13,20,26.42,50.02,30.77
2015-01-13,21,27.02,49.37,29.86
2015-01-13,22,18.36,48.47,28.64
2015-01-13,23,16.06,42.78,27.67
2015-01-14,0,15.02,39.0,26.0
2015-01-14,1,11.99,38.0,25.75
2015-01-14,2,13.68,38.0,25.76
2015-01-14,3,13.91,40.21,26.08
2015-01-14,4,16.26,43.53,27.51
2015-01-14,5,27.32,47.92,28.69
2015-01-14,6,30.86,54.56,30.86
2015-01-14,7,28.92,64.42,32.52
2015-01-14,8,28.76,59.99,31.63
2015-01-14,9,29.0,54.87,30.49
2015-01-14,10,28.51,52.73,30.32
2015-01-14,11,27.59,48.12,29.7
2015-01-14,12,27.73,48.0,29.58
2015-01-14,13,27.85,50.37,30.37
2015-01-14,14,28.85,53.45,32.28
2015-01-14,15,30.79,57.04,33.89
2015-01-14,16,31.87,60.99,35.93
2015-01-14,17,29.99,60.12,34.72
2015-01-14,18,28.55,55.8,32.79
2015-01-14,19,28.53,50.88,29.75
2015-01-14,20,27.96,49.5,29.31
2015-01-14,21,23.73,48.0,28.61
2015-01-14,22,16.29,44.21,27.4
2015-01-14,23,24.36,43.83,27.37
2015-01-15,0,21.59,41.0,27.13
2015-01-15,1,15.46,39.0,27.02
2015-01-15,2,15.44,39.0,27.17
2015-01-15,3,15.43,41.0,27.69
2015-01-15,4,15.47,45.53,28.05
2015-01-15,5,25.85,50.32,29.66
2015-01-15,6,26.28,58.83,31.92
2015-01-15,7,26.55,69.96,33.85
2015-01-15,8,26.42,66.73,30.9
2015-01-15,9,26.36,61.51,29.97
2015-01-15,10,26.23,56.72,29.42
2015-01-15,11,26.12,50.0,29.1
2015-01-15,12,26.18,49.95,28.99
2015-01-15,13,26.3,53.12,28.94
2015-01-15,14,26.37,54.27,28.9
2015-01-15,15,26.76,57.35,29.94
2015-01-15,16,26.89,63.99,31.0
2015-01-15,17,26.65,61.0,30.84
2015-01-15,18,26.41,56.34,29.86
2015-01-15,19,26.05,52.2,28.95
2015-01-15,20,22.05,50.66,28.73
2015-01-15,21,19.01,48.4,27.95
2015-01-15,22,12.01,43.79,26.13
2015-01-15,23,6.95,43.53,25.79
2015-01-16,0,6.73,40.0,25.42
2015-01-16,1,6.8,38.0,25.17
2015-01-16,2,6.76,37.76,24.8
2015-01-16,3,6.74,38.51,25.4
2015-01-16,4,0.94,42.78,27.29
2015-01-16,5,15.0,48.38,28.74
2015-01-16,6,25.09,54.58,30.02
