Dates,Hour,priceahead
2015-01-05,0,39.1
2015-01-05,1,35.21
2015-01-05,2,32.43
2015-01-05,3,33.15
2015-01-05,4,38.85
2015-01-05,5,48.89
2015-01-05,6,60.03
2015-01-05,7,63.98
2015-01-05,8,64.5
2015-01-05,9,55.49
2015-01-05,10,53.5
2015-01-05,11,51.0
2015-01-05,12,50.39
2015-01-05,13,54.45
2015-01-05,14,64.0
2015-01-05,15,64.25
2015-01-05,16,68.64
2015-01-05,17,67.0
2015-01-05,18,61.5
2015-01-05,19,55.95
2015-01-05,20,50.26
2015-01-05,21,50.53
2015-01-05,22,51.0
2015-01-05,23,49.78
2015-01-06,0,45.21
2015-01-06,1,38.8
2015-01-06,2,35.0
2015-01-06,3,33.43
2015-01-06,4,37.58
2015-01-06,5,43.5
2015-01-06,6,52.0
2015-01-06,7,52.0
2015-01-06,8,51.04
2015-01-06,9,50.28
2015-01-06,10,49.1
2015-01-06,11,47.97
2015-01-06,12,45.11
2015-01-06,13,45.44
2015-01-06,14,52.49
2015-01-06,15,57.89
2015-01-06,16,63.98
2015-01-06,17,61.1
2015-01-06,18,59.17
2015-01-06,19,55.0
2015-01-06,20,50.0
2015-01-06,21,50.27
2015-01-06,22,49.1
2015-01-06,23,49.92
2015-01-07,0,45.5
2015-01-07,1,45.0
2015-01-07,2,41.85
2015-01-07,3,41.85
2015-01-07,4,44.32
2015-01-07,5,51.96
2015-01-07,6,57.33
2015-01-07,7,69.69
2015-01-07,8,70.95
2015-01-07,9,66.4
2015-01-07,10,63.98
2015-01-07,11,54.99
2015-01-07,12,52.62
2015-01-07,13,64.34
2015-01-07,14,65.0
2015-01-07,15,65.02
2015-01-07,16,65.21
2015-01-07,17,63.0
2015-01-07,18,58.23
2015-01-07,19,52.1
2015-01-07,20,50.55
2015-01-07,21,49.78
2015-01-07,22,49.78
2015-01-07,23,46.48
2015-01-08,0,40.85
2015-01-08,1,40.03
2015-01-08,2,38.85
2015-01-08,3,39.1
2015-01-08,4,44.41
2015-01-08,5,60.0
2015-01-08,6,65.66
2015-01-08,7,78.24
2015-01-08,8,76.0
2015-01-08,9,71.35
2015-01-08,10,66.95
2015-01-08,11,57.75
2015-01-08,12,57.89
2015-01-08,13,65.15
2015-01-08,14,65.0
2015-01-08,15,65.99
2015-01-08,16,67.08
2015-01-08,17,64.0
2015-01-08,18,62.0
2015-01-08,19,57.2
2015-01-08,20,51.01
2015-01-08,21,50.26
2015-01-08,22,48.9
2015-01-08,23,44.89
2015-01-09,0,41.1
2015-01-09,1,40.8
2015-01-09,2,40.03
2015-01-09,3,40.8
2015-01-09,4,46.21
2015-01-09,5,52.04
2015-01-09,6,60.03
2015-01-09,7,69.65
2015-01-09,8,71.94
2015-01-09,9,65.39
2015-01-09,10,63.98
2015-01-09,11,52.44
2015-01-09,12,51.05
2015-01-09,13,54.45
2015-01-09,14,58.0
2015-01-09,15,61.0
2015-01-09,16,65.04
2015-01-09,17,63.98
2015-01-09,18,58.43
2015-01-09,19,51.8
2015-01-09,20,50.4
2015-01-09,21,48.8
2015-01-09,22,44.96
2015-01-09,23,42.49
2015-01-10,0,38.8
2015-01-10,1,34.51
2015-01-10,2,33.35
2015-01-10,3,32.68
2015-01-10,4,34.51
2015-01-10,5,42.99
2015-01-10,6,49.11
2015-01-10,7,50.16
2015-01-10,8,49.28
2015-01-10,9,47.01
2015-01-10,10,44.49
2015-01-10,11,40.78
2015-01-10,12,38.0
2015-01-10,13,39.46
2015-01-10,14,45.0
2015-01-10,15,47.72
2015-01-10,16,53.1
2015-01-10,17,52.84
2015-01-10,18,51.95
2015-01-10,19,49.0
2015-01-10,20,46.44
2015-01-10,21,44.49
2015-01-10,22,40.83
2015-01-10,23,39.24
2015-01-11,0,34.45
2015-01-11,1,27.74
2015-01-11,2,20.0
2015-01-11,3,20.0
2015-01-11,4,25.01
2015-01-11,5,33.76
2015-01-11,6,37.27
